"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"01-02 self learning ",,"2025-12-02","04:36:50","05:49:27","01:12:37","-05:00","false",
"01-02 self learning ",,"2025-12-02","19:17:02","21:13:58","01:56:56","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-02","21:43:26","22:15:09","00:31:43","-05:00","false","false"
"01-02 self learning ",,"2025-12-02","23:46:14","23:55:17","00:09:03","-05:00","false",
"01-02 self learning ",,"2025-12-04","01:32:56","01:33:26","00:00:30","-05:00","false",
"01-02 self learning ",,"2025-12-04","01:33:36","02:03:36","00:30:00","-05:00","false",
"01-02 self learning ",,"2025-12-04","02:05:43","02:35:43","00:30:00","-05:00","false",
"01-02 self learning ",,"2025-12-04","02:37:29","03:07:30","00:30:01","-05:00","false",
"01-02 self learning ",,"2025-12-04","03:07:32","03:37:33","00:30:01","-05:00","false",
"01-02 self learning ",,"2025-12-04","03:37:36","03:45:17","00:07:41","-05:00","false",
"01-02 self learning ",,"2025-12-04","04:23:38","04:45:58","00:22:20","-05:00","false",
"01-02 self learning ",,"2025-12-04","05:11:08","05:46:00","00:34:52","-05:00","false",
"02-WashingDishes",,"2025-12-04","21:41:05","22:06:21","00:25:16","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-04","22:11:20","22:39:40","00:28:20","-05:00","false","false"
"03-Clean up",,"2025-12-04","23:46:48","23:59:59","00:13:11","-05:00","false",
"03-Clean up",,"2025-12-05","00:00:00","00:10:00","00:10:00","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-05","23:34:14","23:48:41","00:14:27","-05:00","false","false"
"02-Eating ",,"2025-12-06","17:57:10","19:19:11","01:22:01","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-06","20:33:44","21:14:25","00:40:41","-05:00","false","false"
"02-WashingDishes",,"2025-12-06","21:46:20","22:03:17","00:16:57","-05:00","false",
"03-Clean up",,"2025-12-06","22:44:46","23:05:00","00:20:14","-05:00","false",
"02-Kitchen ",,"2025-12-07","08:00:27","09:15:00","01:14:33","-05:00","false",
"02-Eating ",,"2025-12-07","12:10:23","12:52:48","00:42:25","-05:00","false",
"Dunkin",,"2025-12-07","12:52:52","18:05:00","05:12:08","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-08","00:47:12","01:55:26","01:08:14","-05:00","false","false"
"02-WashingDishes",,"2025-12-08","02:11:00","02:24:45","00:13:45","-05:00","false",
"03-Clean up",,"2025-12-08","02:29:42","02:54:49","00:25:07","-05:00","false",
"03-Clean up",,"2025-12-09","01:30:07","01:53:05","00:22:58","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-09","01:53:08","02:00:00","00:06:52","-05:00","false","false"
"02-WashingDishes",,"2025-12-09","13:47:37","13:59:45","00:12:08","-05:00","false",
"02-Eating ",,"2025-12-09","14:40:00","14:56:00","00:16:00","-05:00","false",
"02-Eating ",,"2025-12-09","21:56:55","22:25:00","00:28:05","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-09","23:49:48","23:59:59","00:10:11","-05:00","false","false"
"02-Kitchen ","Meal prep","2025-12-10","00:00:00","00:17:53","00:17:53","-05:00","false","false"
"02-Eating ",,"2025-12-10","12:06:00","12:36:00","00:30:00","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-10","21:25:35","21:50:55","00:25:20","-05:00","false","false"
"02-coffee",,"2025-12-10","21:51:00","21:57:18","00:06:18","-05:00","false",
"02-coffee",,"2025-12-10","21:58:32","21:58:36","00:00:04","-05:00","false",
"02-coffee",,"2025-12-10","22:00:06","22:00:12","00:00:06","-05:00","false",
"02-WashingDishes",,"2025-12-10","22:25:15","22:35:54","00:10:39","-05:00","false",
"02-Kitchen ",,"2025-12-12","00:23:06","01:37:11","01:14:05","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-12","21:43:41","22:31:50","00:48:09","-05:00","false","false"
"02-coffee",,"2025-12-12","22:31:57","22:48:17","00:16:20","-05:00","false",
"02-WashingDishes",,"2025-12-12","22:48:20","22:57:19","00:08:59","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-14","22:33:25","23:00:00","00:26:35","-05:00","false","false"
"03-Clean up",,"2025-12-15","22:20:15","22:49:59","00:29:44","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-15","22:50:01","23:59:59","01:09:58","-05:00","false","false"
"04-Workout ",,"2025-12-16","11:30:50","13:43:14","02:12:24","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-16","20:18:42","21:14:33","00:55:51","-05:00","false","false"
"02-Kitchen ",,"2025-12-18","11:21:38","11:54:04","00:32:26","-05:00","false",
"02-Kitchen ",,"2025-12-18","21:06:48","21:35:37","00:28:49","-05:00","false",
"02-coffee",,"2025-12-18","21:35:43","21:50:20","00:14:37","-05:00","false",
"02-coffee",,"2025-12-18","21:54:30","21:54:31","00:00:01","-05:00","false",
"02-WashingDishes",,"2025-12-18","21:54:35","22:10:04","00:15:29","-05:00","false",
"03-Clean up",,"2025-12-18","22:47:11","23:24:50","00:37:39","-05:00","false",
"02-Kitchen ",,"2025-12-19","07:38:27","08:30:00","00:51:33","-05:00","false",
"02-WashingDishes",,"2025-12-19","10:10:29","10:27:37","00:17:08","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-19","20:25:00","21:10:00","00:45:00","-05:00","false","false"
"02-Kitchen ",,"2025-12-20","05:13:43","05:28:00","00:14:17","-05:00","false",
"02-Kitchen ",,"2025-12-20","10:54:12","11:31:42","00:37:30","-05:00","false",
"02-WashingDishes",,"2025-12-20","11:36:38","11:58:18","00:21:40","-05:00","false",
"02-Eating ",,"2025-12-20","17:35:33","18:10:00","00:34:27","-05:00","false",
"03-Clean up",,"2025-12-22","04:39:28","05:00:00","00:20:32","-05:00","false",
"02-Eating ",,"2025-12-22","16:29:38","17:05:00","00:35:22","-05:00","false",
"02-Eating ",,"2025-12-22","20:12:00","20:40:00","00:28:00","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-22","22:15:09","22:48:14","00:33:05","-05:00","false","false"
"02-WashingDishes",,"2025-12-22","22:55:22","23:11:17","00:15:55","-05:00","false",
"03-Clean up",,"2025-12-22","23:12:18","23:59:59","00:47:41","-05:00","false",
"03-Clean up",,"2025-12-23","00:00:00","00:14:12","00:14:12","-05:00","false",
"02-Kitchen ",,"2025-12-23","05:58:17","06:31:56","00:33:39","-05:00","false",
"02-WashingDishes",,"2025-12-23","08:23:40","08:35:39","00:11:59","-05:00","false",
"02-Eating ",,"2025-12-23","12:54:06","13:17:17","00:23:11","-05:00","false",
"02-Eating ",,"2025-12-23","18:00:00","18:25:00","00:25:00","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-23","20:02:20","20:37:59","00:35:39","-05:00","false","false"
"02-WashingDishes",,"2025-12-23","20:54:22","21:05:00","00:10:38","-05:00","false",
"House Chores",,"2025-12-23","21:05:10","21:15:01","00:09:51","-05:00","false",
"03-Clean up",,"2025-12-23","21:54:55","23:59:59","02:05:04","-05:00","false",
"02-WashingDishes",,"2025-12-24","16:55:00","17:07:37","00:12:37","-05:00","false",
"03-Clean up",,"2025-12-24","20:56:51","21:20:00","00:23:09","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-25","13:16:00","13:43:51","00:27:51","-05:00","false","false"
"02-Eating ",,"2025-12-25","14:03:26","14:30:31","00:27:05","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-25","17:46:29","18:24:58","00:38:29","-05:00","false","false"
"02-Eating ",,"2025-12-25","18:25:01","18:57:57","00:32:56","-05:00","false",
"02-WashingDishes",,"2025-12-25","19:18:32","19:42:33","00:24:01","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-25","22:23:33","23:00:00","00:36:27","-05:00","false","false"
"02-Eating ",,"2025-12-26","12:30:32","12:58:10","00:27:38","-05:00","false",
"02-WashingDishes",,"2025-12-26","18:06:25","18:06:27","00:00:02","-05:00","false",
"02-WashingDishes",,"2025-12-26","18:07:56","18:22:28","00:14:32","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-28","15:49:02","16:39:08","00:50:06","-05:00","false","false"
"02-WashingDishes",,"2025-12-28","16:44:26","16:56:50","00:12:24","-05:00","false",
"03-Clean up",,"2025-12-28","20:46:00","21:08:00","00:22:00","-05:00","false",
"02-Eating ",,"2025-12-28","21:19:54","21:55:28","00:35:34","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-29","23:03:15","23:31:38","00:28:23","-05:00","false","false"
"02-WashingDishes",,"2025-12-30","00:06:50","00:19:41","00:12:51","-05:00","false",
"02-Eating ",,"2025-12-30","07:42:13","07:42:17","00:00:04","-05:00","false",
"02-Kitchen ",,"2025-12-30","07:42:24","08:39:59","00:57:35","-05:00","false",
"02-WashingDishes",,"2025-12-30","08:40:07","08:53:00","00:12:53","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-30","22:29:10","22:45:55","00:16:45","-05:00","false","false"
"02-Kitchen ","Meal prep","2025-12-31","22:55:17","23:57:36","01:02:19","-05:00","false","false"
"02-Kitchen ",,"2026-01-31","09:30:00","09:41:51","00:11:51","-05:00","false",
"02-Kitchen ",,"2026-01-31","09:56:07","10:07:04","00:10:57","-05:00","false",
"02-WashingDishes",,"2026-01-31","11:19:32","11:36:33","00:17:01","-05:00","false",
"02-Eating ",,"2026-01-31","12:00:12","12:16:14","00:16:02","-05:00","false",
"02-Eating ",,"2026-01-31","21:33:58","21:50:00","00:16:02","-05:00","false",
"02-WashingDishes",,"2026-02-01","00:42:11","00:50:59","00:08:48","-05:00","false",
"03-Clean up",,"2026-02-01","00:51:21","01:16:15","00:24:54","-05:00","false",
"03-Cleaning ",,"2026-02-02","05:39:48","06:26:48","00:47:00","-05:00","false",
"03-Cleaning ",,"2026-02-02","06:45:48","07:42:00","00:56:12","-05:00","false",
"03-Cleaning ",,"2026-02-02","09:28:13","10:00:00","00:31:47","-05:00","false",
"03-Cleaning ",,"2026-02-02","10:13:00","10:53:30","00:40:30","-05:00","false",
"02-Kitchen ",,"2026-02-02","11:29:30","12:04:00","00:34:30","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-02","19:59:05","20:22:15","00:23:10","-05:00","false","false"
"02-WashingDishes",,"2026-02-02","21:12:26","21:20:50","00:08:24","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-03","21:53:29","22:10:37","00:17:08","-05:00","false","false"
"02-WashingDishes",,"2026-02-03","22:22:38","22:26:54","00:04:16","-05:00","false",
"02-Kitchen ",,"2026-02-03","22:27:01","22:31:01","00:04:00","-05:00","false",
"Sleep",,"2026-02-03","23:45:04","23:59:59","00:14:55","-05:00","false",
"Sleep",,"2026-02-04","00:00:00","04:29:31","04:29:31","-05:00","false",
"02-Kitchen ",,"2026-02-04","04:13:00","04:49:55","00:36:55","-05:00","false",
"01-00-Personal work",,"2026-02-04","04:59:28","05:50:00","00:50:32","-05:00","false",
"04-NovProject",,"2026-02-04","05:55:00","08:00:00","02:05:00","-05:00","false",
"02-Kitchen ",,"2026-02-04","08:32:39","08:57:39","00:25:00","-05:00","false",
"02-Kitchen ",,"2026-02-04","09:14:40","09:25:00","00:10:20","-05:00","false",
"01-02 CIS731",,"2026-02-04","10:30:00","13:37:30","03:07:30","-05:00","false",
"02-Eating ",,"2026-02-04","13:37:34","14:00:00","00:22:26","-05:00","false",
"02-Eating ",,"2026-02-04","19:35:09","20:24:07","00:48:58","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-04","22:24:09","22:37:23","00:13:14","-05:00","false","false"
"02-WashingDishes",,"2026-02-04","22:40:48","22:49:25","00:08:37","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-06","08:01:15","08:17:34","00:16:19","-05:00","false","false"
"02-Kitchen ",,"2026-02-06","08:17:34","08:39:02","00:21:28","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-06","21:35:05","22:01:59","00:26:54","-05:00","false","false"
"02-Kitchen ",,"2026-02-06","22:04:46","22:09:58","00:05:12","-05:00","false",
"02-WashingDishes",,"2026-02-06","22:09:58","22:25:55","00:15:57","-05:00","false",
"02-Kitchen ",,"2026-02-07","10:11:11","11:03:04","00:51:53","-05:00","false",
"02-WashingDishes",,"2026-02-07","11:03:25","11:15:38","00:12:13","-05:00","false",
"01-02 CIS731",,"2026-02-07","22:18:33","22:43:34","00:25:01","-05:00","false",
"01-02 CIS731",,"2026-02-07","22:43:39","23:08:39","00:25:00","-05:00","false",
"01-02 CIS731",,"2026-02-07","23:08:49","23:33:49","00:25:00","-05:00","false",
"01-02 CIS731",,"2026-02-07","23:33:52","23:58:52","00:25:00","-05:00","false",
"01-02 CIS731",,"2026-02-07","23:58:55","23:59:59","00:01:04","-05:00","false",
"01-02 CIS731",,"2026-02-08","00:00:00","00:23:55","00:23:55","-05:00","false",
"01-02 CIS731",,"2026-02-08","01:27:31","01:52:31","00:25:00","-05:00","false",
"01-02 CIS731",,"2026-02-08","01:52:53","02:14:07","00:21:14","-05:00","false",
"01-02 CIS731",,"2026-02-08","04:18:29","04:41:22","00:22:53","-05:00","false",
"02-Kitchen ",,"2026-02-09","10:25:00","11:05:06","00:40:06","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-09","10:25:23","10:48:08","00:22:45","-05:00","false","false"
"02-Kitchen ",,"2026-02-09","21:45:00","22:24:02","00:39:02","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-09","21:46:48","22:03:34","00:16:46","-05:00","false","false"
"02-Kitchen ",,"2026-02-10","10:16:17","10:56:53","00:40:36","-05:00","false",
"02-WashingDishes",,"2026-02-10","10:56:53","11:17:11","00:20:18","-05:00","false",
"01-00-Personal work",,"2026-02-10","16:20:08","16:45:32","00:25:24","-05:00","false",
"01-00-Personal work",,"2026-02-10","17:12:20","17:39:20","00:27:00","-05:00","false",
"01-00-Personal work",,"2026-02-10","17:44:20","17:57:12","00:12:52","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-10","20:22:27","20:50:36","00:28:09","-05:00","false","false"
"02-WashingDishes",,"2026-02-10","20:58:33","21:07:32","00:08:59","-05:00","false",
"House Chores",,"2026-02-10","21:09:17","21:12:57","00:03:40","-05:00","false",
"03-Cleaning ",,"2026-02-10","21:33:41","22:38:00","01:04:19","-05:00","false",
"01-00-Personal work",,"2026-02-11","12:26:59","12:49:21","00:22:22","-05:00","false",
"02-Eating ",,"2026-02-11","13:21:50","21:19:22","07:57:32","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-11","21:19:31","21:40:52","00:21:21","-05:00","false","false"
"02-Kitchen ",,"2026-02-11","21:40:58","21:57:30","00:16:32","-05:00","false",
"02-WashingDishes",,"2026-02-11","21:57:33","22:07:34","00:10:01","-05:00","false",
"02-Eating ",,"2026-02-12","11:02:28","11:44:19","00:41:51","-05:00","false",
"02-Eating ",,"2026-02-12","19:03:06","20:10:19","01:07:13","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-12","20:33:22","20:55:15","00:21:53","-05:00","false","false"
"01-02 CIS731",,"2026-02-14","22:56:27","23:41:27","00:45:00","-05:00","false",
"01-02 CIS731",,"2026-02-14","23:41:30","23:59:59","00:18:29","-05:00","false",
"01-02 CIS731",,"2026-02-15","00:00:00","00:26:32","00:26:32","-05:00","false",
"Break",,"2026-02-15","00:28:00","01:34:10","01:06:10","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-15","21:07:14","22:00:53","00:53:39","-05:00","false","false"
"02-WashingDishes",,"2026-02-15","22:00:59","22:13:05","00:12:06","-05:00","false",
"03-Clean up",,"2026-02-15","22:16:51","22:44:07","00:27:16","-05:00","false",
"01-02 CIS731",,"2026-02-16","15:54:17","17:43:18","01:49:01","-05:00","false",
"01-02 CIS731",,"2026-02-16","17:43:19","17:43:21","00:00:02","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-16","20:28:50","21:06:45","00:37:55","-05:00","false","false"
"02-Kitchen ",,"2026-02-17","07:40:51","08:11:26","00:30:35","-05:00","false",
"02-Eating ",,"2026-02-17","11:44:53","12:05:00","00:20:07","-05:00","false",
"00-ph-breathwork",,"2026-02-17","13:20:25","13:25:00","00:04:35","-05:00","false",
"01-00-Personal work",,"2026-02-17","13:57:50","14:31:13","00:33:23","-05:00","false",
"01-00-Personal work",,"2026-02-17","14:53:12","15:25:19","00:32:07","-05:00","false",
"01-00-Personal work",,"2026-02-17","15:41:58","16:01:22","00:19:24","-05:00","false",
"02-Eating ",,"2026-02-17","19:21:32","19:40:48","00:19:16","-05:00","false",
"02-Kitchen ",,"2026-02-17","21:03:00","22:13:04","01:10:04","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-17","21:03:09","21:45:00","00:41:51","-05:00","false","false"
"02-WashingDishes",,"2026-02-17","21:57:58","22:10:37","00:12:39","-05:00","false",
"03-Clean up",,"2026-02-17","22:13:22","22:46:05","00:32:43","-05:00","false",
"02-Eating ",,"2026-02-18","11:46:04","12:20:40","00:34:36","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-18","20:46:17","21:09:33","00:23:16","-05:00","false","false"
"02-WashingDishes",,"2026-02-18","21:19:56","21:34:08","00:14:12","-05:00","false",
"03-Clean up",,"2026-02-18","21:34:21","23:59:59","02:25:38","-05:00","false",
"02-Kitchen ",,"2026-02-19","06:59:14","07:25:24","00:26:10","-05:00","false",
"02-Kitchen ",,"2026-02-19","07:51:26","08:17:34","00:26:08","-05:00","false",
"02-Kitchen ",,"2026-02-19","10:35:36","11:06:00","00:30:24","-05:00","false",
"02-WashingDishes",,"2026-02-19","10:44:06","11:00:00","00:15:54","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-19","21:25:30","21:49:08","00:23:38","-05:00","false","false"
"02-WashingDishes",,"2026-02-19","22:00:56","22:13:33","00:12:37","-05:00","false",
"02-Kitchen ",,"2026-02-20","20:57:00","22:00:00","01:03:00","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-20","20:57:22","21:19:03","00:21:41","-05:00","false","false"
"02-WashingDishes",,"2026-02-20","21:42:21","21:53:10","00:10:49","-05:00","false",
"03-Clean up",,"2026-02-21","07:09:06","07:29:18","00:20:12","-05:00","false",
"02-Kitchen ",,"2026-02-21","08:07:31","08:50:19","00:42:48","-05:00","false",
"02-Eating ",,"2026-02-21","11:28:47","11:46:06","00:17:19","-05:00","false",
"03-Grooming",,"2026-02-21","12:35:52","12:46:25","00:10:33","-05:00","false",
"Traveling ",,"2026-02-21","18:30:17","19:04:44","00:34:27","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-22","12:00:00","15:15:40","03:15:40","-05:00","false","false"
"02-WashingDishes",,"2026-02-22","15:15:59","15:24:26","00:08:27","-05:00","false",
"02-WashingDishes",,"2026-02-22","15:25:55","15:32:08","00:06:13","-05:00","false",
"02-Kitchen ",,"2026-02-22","15:32:16","15:35:46","00:03:30","-05:00","false",
"02-WashingDishes",,"2026-02-22","19:29:45","20:48:53","01:19:08","-05:00","false",
"02-Kitchen ",,"2026-02-25","05:29:07","05:59:53","00:30:46","-05:00","false",
"02-WashingDishes",,"2026-02-25","08:48:32","08:49:17","00:00:45","-05:00","false",
"02-Kitchen ",,"2026-02-26","06:25:00","07:10:00","00:45:00","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-26","06:26:09","06:57:48","00:31:39","-05:00","false","false"
"02-Kitchen ",,"2026-02-26","10:47:54","11:31:54","00:44:00","-05:00","false",
"01-00-Personal work",,"2026-02-27","02:22:47","02:43:30","00:20:43","-05:00","false",
"01-00-Personal work",,"2026-02-27","02:50:16","03:02:00","00:11:44","-05:00","false",
"01-00-Personal work",,"2026-02-27","03:19:56","04:34:00","01:14:04","-05:00","false",
"01-00-Personal work",,"2026-02-27","04:40:11","05:15:00","00:34:49","-05:00","false",
"01-00-Personal work",,"2026-02-27","05:19:52","05:44:52","00:25:00","-05:00","false",
"01-00-Personal work",,"2026-02-27","05:49:27","05:49:27","00:00:00","-05:00","false",
"01-00-Personal work",,"2026-02-27","05:49:30","05:56:48","00:07:18","-05:00","false",
"02-Kitchen ","Meal prep","2026-02-27","06:06:42","06:06:43","00:00:01","-05:00","false","false"
"02-Kitchen ",,"2026-02-27","06:06:55","06:34:03","00:27:08","-05:00","false",
"02-Kitchen ",,"2026-02-27","06:34:12","06:59:20","00:25:08","-05:00","false",
"01-02 CIS731",,"2026-02-28","20:28:12","21:13:12","00:45:00","-05:00","false",
"01-02 CIS731",,"2026-02-28","21:18:12","21:25:15","00:07:03","-05:00","false",
"01-02 CIS731",,"2026-02-28","21:31:40","22:09:37","00:37:57","-05:00","false",
"01-02 CIS731",,"2026-02-28","22:14:37","22:16:33","00:01:56","-05:00","false",
"03-Cleaning ",,"2026-03-03","08:57:29","09:45:25","00:47:56","-05:00","false",
"01-00-Personal work",,"2026-03-03","17:40:19","18:04:41","00:24:22","-05:00","false",
"01-00-Personal work",,"2026-03-03","18:11:29","18:57:17","00:45:48","-05:00","false",
"Traveling ",,"2026-03-03","19:50:57","20:02:50","00:11:53","-05:00","false",
"02-Kitchen ",,"2026-03-03","20:02:53","20:30:06","00:27:13","-05:00","false",
"03-Clean up",,"2026-03-03","20:40:29","21:03:40","00:23:11","-05:00","false",
"00-Divine ",,"2026-03-03","21:10:00","21:24:56","00:14:56","-05:00","false",
"Sleep",,"2026-03-03","22:11:49","23:59:59","01:48:10","-05:00","false",
"Sleep",,"2026-03-04","00:00:00","03:58:56","03:58:56","-05:00","false",
"02-Kitchen ",,"2026-03-04","04:00:00","04:41:09","00:41:09","-05:00","false",
"02-Kitchen ","Meal prep","2026-03-04","04:07:36","04:34:57","00:27:21","-05:00","false","false"
"03-Clean up",,"2026-03-04","07:48:00","08:11:00","00:23:00","-05:00","false",
"02-Kitchen ",,"2026-03-04","08:22:17","09:05:54","00:43:37","-05:00","false",
"02-Eating ",,"2026-03-04","13:50:00","14:17:05","00:27:05","-05:00","false",
"Traveling ",,"2026-03-04","19:59:46","20:04:49","00:05:03","-05:00","false",
"02-Kitchen ",,"2026-03-04","20:05:01","20:22:32","00:17:31","-05:00","false",
"03-Clean up",,"2026-03-04","20:25:00","21:12:49","00:47:49","-05:00","false",
"Sleep",,"2026-03-04","21:26:00","23:59:59","02:33:59","-05:00","false",
"Sleep",,"2026-03-05","00:00:00","08:00:00","08:00:00","-05:00","false",
"02-Kitchen ",,"2026-03-05","08:44:00","09:50:13","01:06:13","-05:00","false",
"02-Kitchen ","Meal prep","2026-03-05","08:44:15","09:23:59","00:39:44","-05:00","false","false"
"02-Kitchen ",,"2026-03-05","11:12:46","11:45:00","00:32:14","-05:00","false",
"02-WashingDishes",,"2026-03-05","11:20:31","11:34:51","00:14:20","-05:00","false",
"01-00-Personal work",,"2026-03-05","12:56:52","14:35:00","01:38:08","-05:00","false",
"02-Eating ",,"2026-03-05","14:51:05","15:10:00","00:18:55","-05:00","false",
"02-coffee",,"2026-03-05","15:25:06","15:38:20","00:13:14","-05:00","false",
"02-Eating ",,"2026-03-05","18:19:00","18:45:00","00:26:00","-05:00","false",
"Traveling ",,"2026-03-05","18:55:00","19:37:44","00:42:44","-05:00","false",
"X-TP",,"2026-03-05","20:25:00","21:14:00","00:49:00","-05:00","false",
